framework,control,policy_file,category,control_domain,cis_level,platform,mapping_status
ISO/IEC 27001:2022,(no workbook row),Baseline - Device Control,08_Removable_Media_and_Device_Control,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - Linux - Device Encryption,06_Data_Encryption,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - MDE Device Tag,01_Defender_for_Endpoint (Windows + Linux),,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - Smartscreen Enhanced Phishing Protection Block Mode,01_Defender_for_Endpoint (Windows + Linux),,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - Teams - Restrict sign in to Teams to accounts in specific tenants,05_Tenant_and_Account_Access_Control,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - WHFB Muti-Factor unlock Template config,12_Passwordless_Authentication,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - Windows - Firewall,07_Firewall_and_Network_Security,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - Windows AI - Settings Agent,10_Privacy_and_AI_Data_Governance,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Baseline - Windows health monitoring,14_Modern_Workplace_and_Resilience,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv3 - EDGE - L1 - Allow Basic authentication for HTTP,11_Microsoft_Edge_CIS_Benchmark,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv3 - EDGE - L1 - Allow importing of saved passwords,11_Microsoft_Edge_CIS_Benchmark,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv3 - EDGE - L1 - Enable Microsoft Defender SmartScreen DNS requests,11_Microsoft_Edge_CIS_Benchmark,,,,UNMAPPED — no workbook row
