policy_file,category,deployed_name,graph_shape,workbook_row,workbook_policy_name,platform,cis_level,source,control_domain,nist_800_53_r5,iso_27001_2022,auditor_rationale,mapping_status,match_method,match_note
ASR - BLOCK - Block Office applications from creating executable content,01_Defender_for_Endpoint (Windows + Linux),ASR - BLOCK - Block Office applications from creating executable content,settings_catalog_policy,65,ASR - BLOCK - Block Office applications from creating executable content,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Prevents Office from dropping executables to disk — closes macro dropper attack path,mapped,exact,
ASR - BLOCK - Block abuse of exploited vulnerable signed drivers (Device),01_Defender_for_Endpoint (Windows + Linux),ASR - BLOCK - Block abuse of exploited vulnerable signed drivers (Device),settings_catalog_policy,68,ASR - BLOCK - Block abuse of exploited vulnerable signed drivers (Device),Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Blocks BYOVD attacks — prevents exploitation of legitimately signed but vulnerable drivers,mapped,exact,
ASR - BLOCK - Block rebooting machine in Safe Mode,01_Defender_for_Endpoint (Windows + Linux),ASR - BLOCK - Block rebooting machine in Safe Mode,settings_catalog_policy,70,ASR - BLOCK - Block rebooting machine in Safe Mode,Windows 11,L2,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Prevents malware from rebooting into Safe Mode to evade Defender — closes a common AV bypass technique,mapped,exact,
ASR - BLOCK - Enable Controlled Folder Access,01_Defender_for_Endpoint (Windows + Linux),ASR - BLOCK - Enable Controlled Folder Access,settings_catalog_policy,71,ASR - BLOCK - Enable Controlled Folder Access,Windows 11,L2,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Set to Audit mode — monitors ransomware-style folder access without blocking. Provides detection evidence for SI-3 without risking false-positive blocks on legitimate apps,mapped,exact,
ASR - BLOCK - Use advanced protection against ransomware,01_Defender_for_Endpoint (Windows + Linux),ASR - BLOCK - Use advanced protection against ransomware,settings_catalog_policy,59,ASR - BLOCK - Use advanced protection against ransomware,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Ransomware protection specifically called out in ISO 8.7 and SI-3 guidance,mapped,exact,
Baseline - App and Browser Isolation,01_Defender_for_Endpoint (Windows + Linux),Baseline - App and Browser Isolation,settings_catalog_policy,96,Baseline - App and Browser Isolation,Windows 11,L1,Endpoint Security,Malware Protection,"SI-7, SC-3",8.7,Windows Defender Application Guard / exploit-protection settings - complements the existing ASR rule set.,mapped,exact,
Baseline - Chrome Microsoft Defender Browser Protection,01_Defender_for_Endpoint (Windows + Linux),Baseline - Chrome Microsoft Defender Browser Protection,settings_catalog_policy,93,Baseline - Chrome Microsoft Defender Browser Protection,Chrome,L1,Endpoint Security,Malware Protection,"SI-3, SC-8",8.7,Extends Defender SmartScreen-equivalent protection into Chrome - closes the browser-protection gap on the non-Edge browser.,mapped,exact,
Baseline - Defender for Endpoint Linux ,01_Defender_for_Endpoint (Windows + Linux),Baseline - Defender for Endpoint Linux ,settings_catalog_policy,88,Baseline - Defender for Endpoint Linux,Linux,L1,MDE,Linux Endpoint Security,"SI-3, SI-2","8.7, 8.8",The only enforceable Linux hardening lever native to Intune - configures AV/EDR behaviour on Linux endpoints via mdatp_managed.json.,mapped,whitespace,
Baseline - MDE Device Tag,01_Defender_for_Endpoint (Windows + Linux),Baseline - MDE Device Tag,legacy_device_configuration,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - Microsoft Defender Antivirus,01_Defender_for_Endpoint (Windows + Linux),Baseline - Microsoft Defender Antivirus,settings_catalog_policy,18,Baseline - Microsoft Defender Antivirus,Windows 11,L1,MDE,Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8","33-setting comprehensive AV policy — covers realtime monitoring, behaviour monitoring, script scanning, network protection, PUA, cloud protection (MAPS), archive scanning, email scanning, scheduled scans, signature updates every 8h, CPU throttling, sample submission, local admin merge prevention. Replaces all individual CIS AV policies. Update channels (engine/platform/sig intelligence) set to Current — Defender always up to date. ⚠ Import via: Devices > Configuration (Settings Catalog) — MDE folder",mapped,exact,
Baseline - Microsoft Defender Update controls,01_Defender_for_Endpoint (Windows + Linux),Baseline - Defender Update controls,settings_catalog_policy,90,Baseline - Microsoft Defender Update controls,Windows 11,L1,MDE,Patch Management,"SI-2, CM-6",8.8,Governs signature/platform update cadence for Defender itself - closes a patch-management gap specific to the AV engine.,mapped,exact,
Baseline - Scareware Blocker in Microsoft Edge,01_Defender_for_Endpoint (Windows + Linux),Baseline - Scareware Blocker in Microsoft Edge,settings_catalog_policy,94,Baseline - Scareware Blocker in Microsoft Edge,Edge,L1,Endpoint Security,Malware Protection,SI-3,8.7,"Blocks fake tech-support/scareware full-screen pages. Low functional impact, high auditor-visible value.",mapped,exact,
Baseline - Smartscreen Enhanced Phishing Protection Block Mode,01_Defender_for_Endpoint (Windows + Linux),Baseline - Smartscreen Enhanced Phishing Protection Block Mode,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - Windows Defender  Security Experience,01_Defender_for_Endpoint (Windows + Linux),Baseline - Windows Security Experience,settings_catalog_policy,19,Baseline - Windows Defender  Security Experience,Windows 11,L1,MDE,Malware Protection,"SI-3, CM-7","8.7, 8.9","Tamper Protection enabled — prevents users and malware from disabling Defender. Locks Security Center UI panels (family, health, network, notifications). Critical SI-3 control. ⚠ Import via: Devices > Configuration (Settings Catalog) — MDE folder",mapped,exact,
CISv3 - EDGE - L1 - Configure Microsoft Defender SmartScreen,01_Defender_for_Endpoint (Windows + Linux),CISv3 - EDGE - L1 - Configure Microsoft Defender SmartScreen,settings_catalog_policy,74,CISv3 - EDGE - L1 - Configure Microsoft Defender SmartScreen,Edge,L1,CIS,Edge Browser Security,SI-3,"8.7, 8.23",Browser-level SmartScreen is the primary web filtering control — ISO 8.23 evidence,mapped,exact,
CISv3 - EDGE - L1 - Prevent bypassing Microsoft Defender SmartScreen prompts for sites,01_Defender_for_Endpoint (Windows + Linux),CISv3 - EDGE - L1 - Prevent bypassing Microsoft Defender SmartScreen prompts for sites,settings_catalog_policy,111,CISv3 - EDGE - L1 - Prevent bypassing Microsoft Defender SmartScreen prompts for sites,Edge,L1,CIS,Edge Browser Security,SI-3,8.7,Closes the 'click through the warning' bypass gap on the SmartScreen policy already deployed - pairs directly with an existing control.,mapped,exact,
CISv4 - WIN - L1 - ASR Block Adobe Reader from creating child  processes,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block Adobe Reader from creating child  processes,settings_catalog_policy,63,ASR - BLOCK - Block Adobe Reader from creating child processes,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Prevents PDF-based exploitation — closes a common document-based attack path,mapped,prefix,
CISv4 - WIN - L1 - ASR Block JavaScript or VBScript from  launching downloaded executable content,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block JavaScript or VBScript from  launching downloaded executable content,settings_catalog_policy,64,ASR - BLOCK - Block JavaScript or VBScript from launching downloaded executable content,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Blocks script-based malware delivery — covers a primary web-based attack vector,mapped,prefix,
